employee_id,age,gender,education_level,department,years_experience,training_hours,last_performance_rating,avg_monthly_hours,salary_level,promotion_last_5years,work_life_balance,overtime,performance_score,performance_category
1026,37,Female,Master,IT,23,43,5,193,Medium,0,2,Yes,100.0,High Performer
1027,36,Female,Bachelor,Finance,24,50,4,178,High,0,2,No,100.0,High Performer
1028,24,Male,High School,Finance,18,19,4,181,Medium,0,2,Yes,90.4,High Performer
1029,58,Male,Master,Marketing,5,26,4,168,Medium,0,4,No,86.1,High Performer
1030,28,Female,Bachelor,HR,9,26,4,181,Medium,0,4,No,76.7,High Performer
1031,42,Male,High School,IT,14,76,4,233,High,1,3,Yes,100.0,High Performer
1032,30,Female,High School,Operations,20,71,5,171,High,0,3,No,100.0,High Performer
1033,39,Female,Master,Finance,21,104,2,165,Low,0,3,No,100.0,High Performer
1034,25,Female,Bachelor,Operations,19,10,2,254,Medium,0,3,No,65.4,Solid Performer
1035,46,Female,Master,Finance,5,21,1,268,Medium,0,3,Yes,43.5,Needs Improvement
1036,35,Other,Master,Operations,22,112,2,195,Medium,0,2,No,100.0,High Performer
1037,30,Male,Bachelor,IT,24,13,2,261,Low,0,2,Yes,71.0,High Performer
1038,47,Female,Bachelor,HR,9,51,5,245,High,0,3,No,99.0,High Performer
1039,23,Male,Bachelor,IT,6,22,4,269,Low,0,3,Yes,63.1,Solid Performer
1040,41,Male,Bachelor,Marketing,21,107,4,220,Medium,0,3,No,100.0,High Performer
1041,49,Female,Bachelor,Sales,16,115,5,259,Medium,0,4,No,100.0,High Performer
1042,28,Female,Master,HR,17,94,2,191,Low,0,1,No,97.0,High Performer
1043,29,Other,Bachelor,IT,16,95,5,230,High,0,2,No,100.0,High Performer
1044,56,Female,Master,Marketing,8,13,1,161,High,0,3,Yes,41.9,Needs Improvement
1045,35,Male,Bachelor,Sales,9,91,4,173,Medium,0,1,No,92.0,High Performer
1046,38,Male,Bachelor,Marketing,9,78,3,249,Medium,1,2,Yes,87.1,High Performer
1047,57,Female,Bachelor,Finance,24,28,1,188,Low,0,2,Yes,68.5,Solid Performer
1048,25,Male,Bachelor,Finance,6,11,1,268,Medium,0,3,Yes,50.4,Needs Improvement
1049,23,Male,Master,Operations,15,21,5,212,Low,0,2,No,86.5,High Performer
1050,27,Male,Bachelor,HR,17,90,2,223,Medium,0,3,No,99.9,High Performer
1051,25,Male,Bachelor,Finance,5,83,4,192,High,0,3,No,95.7,High Performer
1052,50,Male,High School,Marketing,19,107,3,239,Low,0,1,No,100.0,High Performer
1053,39,Male,Bachelor,HR,0,15,1,263,High,0,4,Yes,40.8,Needs Improvement
1054,47,Male,Bachelor,Finance,0,17,3,184,Low,0,1,No,32.6,Needs Improvement
1055,55,Male,Bachelor,Operations,11,60,2,244,High,1,4,Yes,92.3,High Performer
1056,31,Other,PhD,IT,20,20,2,245,Low,1,4,No,85.3,High Performer
1057,57,Male,Bachelor,Operations,1,72,3,182,Medium,0,2,Yes,72.7,High Performer
1058,35,Male,Master,Sales,3,66,4,187,Low,0,4,Yes,61.9,Solid Performer
1059,52,Female,Bachelor,Finance,16,21,2,265,High,0,4,No,82.6,High Performer
1060,36,Male,Bachelor,Sales,3,82,3,146,Medium,1,4,No,85.9,High Performer
1061,29,Female,High School,Sales,10,11,1,155,Low,0,3,No,35.8,Needs Improvement
1062,35,Female,Bachelor,Marketing,21,17,3,268,Medium,0,2,Yes,82.0,High Performer
1063,44,Male,Bachelor,HR,3,20,3,254,Medium,1,4,Yes,71.5,High Performer
1064,42,Male,Bachelor,Marketing,0,62,5,176,Medium,0,2,No,90.5,High Performer
1065,37,Female,High School,Finance,6,109,2,264,High,0,2,No,97.4,High Performer
1066,39,Female,High School,Sales,17,19,4,220,Medium,0,2,Yes,80.1,High Performer
1067,45,Male,Bachelor,IT,8,94,4,201,Low,1,2,No,100.0,High Performer
1068,47,Female,PhD,Sales,2,93,5,211,Low,0,3,Yes,93.8,High Performer
1069,46,Male,Bachelor,IT,7,17,4,264,Medium,0,3,Yes,67.7,Solid Performer
1070,50,Other,Bachelor,Marketing,23,45,3,205,Medium,0,4,Yes,95.1,High Performer
1071,36,Male,High School,Marketing,18,102,5,169,Medium,0,1,No,100.0,High Performer
1072,22,Female,Bachelor,HR,3,115,1,159,Low,0,4,No,66.7,Solid Performer
1073,46,Female,Bachelor,Sales,17,85,2,221,Medium,0,4,Yes,94.3,High Performer
1074,28,Female,Bachelor,Operations,19,23,2,246,High,1,1,No,86.4,High Performer
1075,30,Female,Bachelor,Marketing,10,63,2,176,Low,0,2,No,73.6,High Performer
1076,45,Male,High School,Marketing,13,94,3,216,Medium,1,4,Yes,100.0,High Performer
1077,22,Male,High School,HR,24,95,1,228,Medium,0,3,No,100.0,High Performer
1078,29,Male,Bachelor,IT,17,30,5,227,Medium,0,4,Yes,100.0,High Performer
1079,45,Male,High School,HR,15,117,5,172,Medium,0,3,No,100.0,High Performer
1080,32,Female,High School,Sales,2,59,2,197,Medium,0,3,No,57.6,Solid Performer
1081,38,Male,Bachelor,Finance,14,103,1,167,High,0,1,Yes,93.2,High Performer
1082,29,Male,Master,Finance,3,48,1,174,Low,0,3,Yes,45.8,Needs Improvement
1083,56,Other,Bachelor,IT,4,29,1,264,Medium,0,1,No,43.4,Needs Improvement
1084,56,Female,Bachelor,Marketing,16,97,4,204,Low,0,3,No,100.0,High Performer
1085,54,Female,Bachelor,IT,6,96,4,181,Medium,1,4,No,100.0,High Performer
1086,26,Other,Master,Marketing,15,16,2,224,Medium,0,3,Yes,60.2,Solid Performer
1087,49,Male,Bachelor,Marketing,13,18,1,250,Medium,0,4,Yes,65.5,Solid Performer
1088,28,Male,High School,Finance,15,10,1,154,Low,0,3,Yes,42.7,Needs Improvement
1089,30,Female,Bachelor,IT,6,35,5,208,Medium,0,3,Yes,81.3,High Performer
1090,29,Female,High School,HR,8,47,5,244,Medium,0,3,No,90.5,High Performer
1091,33,Male,Bachelor,Marketing,3,47,2,203,Medium,0,4,No,67.1,Solid Performer
1092,55,Female,Bachelor,Operations,21,70,1,180,Medium,0,3,No,93.0,High Performer
1093,54,Male,Master,Operations,10,53,2,210,Medium,1,2,Yes,68.5,Solid Performer
1094,44,Male,Bachelor,HR,1,95,5,195,High,0,4,No,100.0,High Performer
1095,45,Female,Master,Operations,11,53,5,164,Medium,0,3,No,87.9,High Performer
1096,58,Female,PhD,Sales,11,83,4,244,Medium,0,1,No,100.0,High Performer
1097,56,Female,High School,Marketing,3,71,2,258,High,0,3,No,82.4,High Performer
1098,43,Male,Bachelor,HR,17,15,2,148,Low,0,4,No,59.2,Solid Performer
1099,48,Female,Bachelor,IT,20,26,1,199,Low,0,3,No,62.8,Solid Performer
1100,56,Male,Bachelor,Marketing,6,60,1,264,Medium,1,2,Yes,62.6,Solid Performer
1101,22,Male,Bachelor,HR,0,47,4,188,Medium,0,4,Yes,69.1,Solid Performer
1102,56,Female,Master,Finance,22,33,3,190,High,0,4,No,97.0,High Performer
1103,58,Female,Master,IT,12,60,3,209,High,1,3,No,90.9,High Performer
1104,35,Female,Bachelor,Finance,5,19,3,176,Medium,0,2,Yes,55.1,Solid Performer
1105,24,Female,Bachelor,Marketing,5,81,2,170,Medium,0,2,No,80.4,High Performer
1106,22,Female,Master,IT,11,30,2,201,Medium,0,3,No,67.5,Solid Performer
1107,26,Female,PhD,Operations,7,79,5,232,Medium,0,4,No,100.0,High Performer
1108,47,Male,Master,HR,23,94,2,153,Medium,0,2,Yes,97.2,High Performer
1109,35,Male,High School,Marketing,21,66,2,218,Medium,0,2,No,87.6,High Performer
1110,48,Male,Bachelor,Sales,18,48,2,147,Medium,0,1,No,72.3,High Performer
1111,30,Male,High School,IT,4,97,4,175,Low,0,3,Yes,90.3,High Performer
1112,36,Female,Bachelor,IT,17,42,2,187,Medium,1,1,Yes,63.9,Solid Performer
1113,36,Female,High School,Marketing,4,68,1,224,Low,0,1,No,52.3,Needs Improvement
1114,47,Male,Bachelor,Marketing,24,27,1,167,High,0,1,No,76.9,High Performer
1115,34,Male,Bachelor,Finance,9,65,5,190,Low,0,3,No,93.8,High Performer
1116,53,Female,High School,Operations,0,101,4,243,High,0,3,No,100.0,High Performer
1117,53,Male,Bachelor,Finance,9,66,1,240,Medium,0,2,Yes,64.3,Solid Performer
1118,25,Female,Bachelor,Finance,4,105,4,168,Medium,0,4,No,96.1,High Performer
1119,51,Female,Bachelor,Operations,11,85,4,266,Medium,0,2,Yes,94.0,High Performer
1120,58,Female,High School,Sales,21,57,5,221,Medium,0,2,Yes,100.0,High Performer
1121,44,Female,Bachelor,Finance,6,51,4,149,Medium,0,4,Yes,83.6,High Performer
1122,36,Female,Master,Finance,8,36,2,245,Medium,0,3,Yes,78.5,High Performer
1123,50,Male,High School,IT,21,83,4,140,Medium,0,3,No,100.0,High Performer
1124,57,Female,High School,Operations,20,119,5,178,Medium,0,1,No,100.0,High Performer
1125,34,Female,Bachelor,HR,11,61,5,160,Medium,0,4,No,100.0,High Performer
1126,53,Male,Master,Sales,22,51,5,204,Low,0,3,Yes,100.0,High Performer
1127,28,Female,Bachelor,Sales,0,41,1,154,Medium,0,4,No,50.0,Needs Improvement
1128,43,Female,Bachelor,Operations,10,115,2,200,High,0,2,No,100.0,High Performer
1129,49,Female,Bachelor,Marketing,20,35,1,226,Low,1,3,No,80.5,High Performer
1130,23,Female,Bachelor,Marketing,14,34,3,244,Medium,1,4,No,96.9,High Performer
1131,27,Female,High School,IT,1,84,2,173,Medium,1,4,Yes,79.3,High Performer
1132,49,Female,Bachelor,IT,19,32,4,263,Medium,0,1,Yes,95.5,High Performer
1133,49,Female,Master,Operations,6,107,5,249,Low,0,4,Yes,92.6,High Performer
1134,41,Female,Bachelor,IT,20,66,3,172,Medium,0,2,No,98.5,High Performer
1135,51,Female,Master,Sales,11,61,2,237,Low,1,3,No,74.7,High Performer
1136,32,Female,Master,Sales,21,113,1,200,Low,0,2,Yes,98.5,High Performer
1137,49,Female,High School,HR,17,96,5,149,Medium,0,3,Yes,100.0,High Performer
1138,46,Male,Master,Marketing,2,102,1,223,Medium,0,2,Yes,72.6,High Performer
1139,54,Female,High School,Operations,6,40,2,204,High,0,2,No,60.0,Solid Performer
1140,22,Female,Bachelor,Finance,10,73,2,216,Low,0,1,Yes,60.3,Solid Performer
1141,48,Male,High School,Marketing,17,80,3,140,Medium,0,1,Yes,90.7,High Performer
1142,34,Female,High School,Finance,11,113,4,219,Low,0,4,Yes,100.0,High Performer
1143,24,Male,Bachelor,HR,5,42,1,154,Medium,0,4,No,64.7,Solid Performer
1144,27,Male,Bachelor,HR,4,94,3,167,High,0,4,No,99.6,High Performer
1145,29,Female,Bachelor,IT,0,11,5,162,High,0,2,No,62.6,Solid Performer
1146,48,Male,Bachelor,HR,11,27,4,248,Low,1,3,Yes,85.2,High Performer
1147,30,Female,High School,HR,10,56,3,246,Medium,0,3,No,81.4,High Performer
1148,58,Female,High School,Finance,3,42,1,252,Medium,0,4,Yes,49.6,Needs Improvement
1149,54,Female,Bachelor,IT,17,110,2,237,Low,0,3,Yes,100.0,High Performer
1150,45,Male,Bachelor,HR,3,107,5,167,Low,0,4,No,100.0,High Performer
1151,36,Male,Master,Marketing,16,93,1,181,High,0,4,Yes,90.3,High Performer
1152,53,Female,Bachelor,HR,1,44,4,238,High,0,4,No,78.9,High Performer
1153,53,Other,Master,IT,23,60,4,200,High,0,2,Yes,100.0,High Performer
1154,45,Female,Bachelor,Operations,21,27,2,262,Medium,0,1,Yes,70.2,High Performer
1155,33,Male,Bachelor,IT,1,119,2,203,Medium,0,3,No,91.0,High Performer
1156,23,Female,Bachelor,Finance,11,97,5,170,Medium,0,3,No,100.0,High Performer
1157,24,Female,Bachelor,Operations,5,81,5,220,Low,0,2,No,87.4,High Performer
1158,58,Female,Bachelor,Marketing,9,39,2,149,Low,0,2,No,66.2,Solid Performer
1159,38,Male,Master,Sales,24,53,2,147,Medium,0,4,No,97.5,High Performer
1160,23,Female,Bachelor,IT,22,62,4,198,Medium,0,3,No,100.0,High Performer
1161,23,Female,Master,Finance,24,19,2,169,High,0,2,No,83.3,High Performer
1162,49,Other,Master,Marketing,20,96,3,159,High,0,3,Yes,100.0,High Performer
1163,44,Male,Master,Operations,22,61,1,187,High,0,3,Yes,91.8,High Performer
1164,58,Female,Master,Marketing,15,58,2,269,High,0,4,No,90.6,High Performer
1165,53,Female,Bachelor,IT,13,20,5,176,Low,0,2,Yes,71.9,High Performer
1166,54,Male,Bachelor,HR,6,75,3,268,Medium,0,3,Yes,73.7,High Performer
1167,22,Female,Bachelor,IT,18,67,5,239,Medium,0,3,Yes,100.0,High Performer
1168,40,Female,Bachelor,Sales,22,99,3,193,Low,1,1,Yes,100.0,High Performer
1169,23,Male,Bachelor,IT,16,45,2,261,High,0,4,Yes,81.9,High Performer
1170,47,Male,Master,Operations,8,42,1,164,High,0,2,Yes,41.0,Needs Improvement
1171,53,Female,Bachelor,Operations,12,56,5,148,Low,0,2,Yes,90.3,High Performer
1172,27,Male,Bachelor,IT,21,22,3,173,Low,0,3,Yes,81.7,High Performer
1173,53,Female,High School,Operations,4,49,4,182,Medium,0,2,No,75.3,High Performer
1174,25,Male,Bachelor,HR,22,98,2,213,Medium,0,2,Yes,95.9,High Performer
1175,32,Female,High School,Marketing,4,77,1,233,High,0,4,No,83.6,High Performer
1176,38,Male,Master,IT,9,51,2,161,Low,0,1,No,57.3,Solid Performer
1177,59,Female,Bachelor,HR,20,28,4,209,Low,0,4,No,89.7,High Performer
1178,45,Other,High School,Marketing,9,91,1,269,Low,0,3,No,77.5,High Performer
1179,26,Other,High School,Marketing,6,110,4,233,Low,0,2,Yes,92.7,High Performer
1180,55,Female,Bachelor,HR,14,103,2,171,Low,0,1,Yes,67.2,Solid Performer
1181,27,Male,Bachelor,Finance,6,28,3,245,High,0,3,No,73.0,High Performer
1182,43,Female,Bachelor,IT,14,67,2,140,Medium,0,3,Yes,78.5,High Performer
1183,32,Male,High School,Marketing,2,32,2,211,Medium,0,1,No,45.9,Needs Improvement
1184,37,Male,Bachelor,Marketing,18,63,2,189,Low,1,2,No,79.0,High Performer
1185,54,Male,Bachelor,Operations,9,89,5,154,Low,0,4,Yes,91.6,High Performer
1186,30,Female,Bachelor,Marketing,14,74,4,192,High,0,1,No,100.0,High Performer
1187,27,Female,Bachelor,HR,2,21,4,147,Medium,0,4,No,69.1,Solid Performer
1188,37,Female,Bachelor,Marketing,5,33,4,213,Medium,0,3,Yes,67.7,Solid Performer
1189,50,Male,Bachelor,Finance,11,43,5,185,Medium,0,3,Yes,91.5,High Performer
1190,24,Male,PhD,IT,14,62,3,208,Medium,0,2,No,85.5,High Performer
1191,41,Other,Bachelor,IT,5,17,2,253,Medium,0,1,No,44.9,Needs Improvement
1192,57,Male,Bachelor,Marketing,12,27,3,262,Medium,1,4,Yes,83.4,High Performer
1193,40,Male,High School,Sales,18,66,5,256,High,0,1,Yes,100.0,High Performer
1194,47,Male,Bachelor,Sales,2,14,4,182,Low,0,2,No,63.6,Solid Performer
1195,24,Female,High School,HR,7,35,2,159,Medium,1,3,No,57.5,Solid Performer
1196,40,Female,Bachelor,Sales,7,39,1,160,Low,0,2,No,47.9,Needs Improvement
1197,41,Male,PhD,HR,22,63,1,221,Medium,0,3,No,90.6,High Performer
1198,53,Male,Bachelor,Operations,19,22,3,196,High,0,4,Yes,88.7,High Performer
1199,28,Female,High School,HR,14,92,4,213,Medium,0,3,No,100.0,High Performer
1200,54,Female,High School,Sales,3,38,1,237,Medium,0,4,No,39.7,Needs Improvement
1201,39,Male,Bachelor,Marketing,18,12,3,249,High,0,4,No,92.2,High Performer
1202,22,Female,High School,Operations,20,99,5,254,Medium,0,2,Yes,100.0,High Performer
1203,32,Male,High School,Sales,2,113,3,181,Low,0,2,Yes,79.5,High Performer
1204,49,Male,Master,HR,12,67,3,207,Low,0,3,No,84.8,High Performer
1205,46,Female,Bachelor,Finance,7,85,3,209,Medium,0,3,Yes,83.5,High Performer
1206,44,Male,Bachelor,IT,22,11,2,217,Medium,0,2,No,69.3,Solid Performer
1207,52,Female,Master,Sales,15,84,3,229,Medium,1,4,Yes,100.0,High Performer
1208,51,Male,High School,HR,12,117,3,250,Medium,0,3,Yes,100.0,High Performer
1209,56,Male,PhD,Operations,2,37,2,251,High,1,2,Yes,64.0,Solid Performer
1210,28,Other,Bachelor,Sales,15,91,2,242,Low,0,3,No,97.7,High Performer
1211,37,Male,Master,Sales,8,86,5,158,Medium,0,2,No,97.4,High Performer
1212,47,Female,Bachelor,IT,13,110,4,209,Low,0,4,No,100.0,High Performer
1213,23,Male,Master,HR,12,95,1,202,High,0,3,No,93.3,High Performer
1214,22,Male,PhD,Finance,20,85,1,214,Low,1,1,Yes,73.5,High Performer
1215,33,Male,Bachelor,Operations,24,11,3,243,Medium,0,2,Yes,80.3,High Performer
1216,26,Female,PhD,HR,6,110,5,214,Low,0,4,No,100.0,High Performer
1217,58,Male,Bachelor,Operations,14,16,3,267,Medium,0,3,No,83.0,High Performer
1218,53,Female,Bachelor,Sales,6,35,1,195,High,0,4,No,63.4,Solid Performer
1219,30,Male,Bachelor,IT,5,99,2,161,Medium,0,1,No,71.1,High Performer
1220,56,Other,Bachelor,IT,1,97,4,228,Medium,0,2,Yes,86.0,High Performer
1221,40,Male,High School,Marketing,8,85,5,158,Medium,0,2,Yes,93.3,High Performer
1222,37,Female,Bachelor,Finance,21,25,2,165,Medium,0,3,No,85.5,High Performer
1223,24,Female,Bachelor,IT,23,32,4,162,High,0,2,Yes,99.4,High Performer
1224,41,Female,Master,Sales,16,49,5,186,Low,0,2,Yes,100.0,High Performer
1225,45,Female,Master,Finance,4,69,5,152,Medium,0,3,No,88.1,High Performer
1226,54,Female,Bachelor,HR,11,82,1,205,Low,0,3,Yes,75.8,High Performer
1227,45,Female,Bachelor,IT,0,41,2,212,Low,0,2,No,46.4,Needs Improvement
1228,32,Male,Bachelor,Finance,9,24,5,216,Medium,0,3,Yes,77.3,High Performer
1229,29,Male,High School,Sales,10,110,5,170,Medium,0,3,No,100.0,High Performer
1230,57,Female,High School,Marketing,15,22,4,224,Medium,0,2,No,91.1,High Performer
1231,59,Female,Bachelor,Operations,13,14,1,198,Medium,0,2,No,55.4,Solid Performer
1232,41,Female,Bachelor,Operations,7,84,3,180,Low,0,2,No,82.3,High Performer
1233,56,Female,PhD,Sales,23,83,1,251,Low,0,3,Yes,84.9,High Performer
1234,46,Male,Bachelor,Sales,16,61,3,235,Medium,0,4,No,92.4,High Performer
1235,56,Male,Bachelor,Operations,24,86,2,261,High,0,2,No,100.0,High Performer
1236,46,Female,Bachelor,Marketing,17,50,2,244,Low,0,2,No,77.9,High Performer
1237,50,Male,High School,Finance,11,62,5,213,Medium,0,4,Yes,99.6,High Performer
1238,39,Male,Bachelor,Operations,24,119,2,238,Medium,0,4,Yes,100.0,High Performer
1239,39,Female,Bachelor,Sales,16,59,5,265,Medium,0,3,Yes,100.0,High Performer
1240,23,Male,Bachelor,IT,13,24,1,214,High,0,4,No,68.0,Solid Performer
1241,56,Female,Bachelor,HR,15,115,2,153,High,0,3,Yes,90.7,High Performer
1242,37,Male,PhD,Marketing,13,16,1,177,Medium,0,3,No,64.5,Solid Performer
1243,57,Female,Master,Marketing,8,49,1,184,Low,0,2,No,52.0,Needs Improvement
1244,54,Male,Bachelor,IT,3,37,2,214,High,0,3,No,72.5,High Performer
1245,25,Male,Bachelor,IT,24,41,1,168,Medium,0,1,No,67.0,Solid Performer
1246,54,Male,Bachelor,Sales,22,108,2,157,Low,0,4,Yes,94.1,High Performer
1247,35,Male,Bachelor,Operations,10,24,2,159,Medium,0,4,No,62.8,Solid Performer
1248,42,Male,Bachelor,Finance,5,109,2,153,High,0,3,No,93.2,High Performer
1249,41,Male,High School,Marketing,14,94,3,193,High,0,2,No,96.7,High Performer
1250,29,Female,Bachelor,Marketing,4,79,1,170,Low,0,2,No,49.1,Needs Improvement
1251,28,Male,Bachelor,IT,10,74,4,197,Medium,0,2,Yes,90.8,High Performer
1252,24,Female,Bachelor,Operations,24,13,2,243,High,0,2,Yes,80.4,High Performer
1253,38,Female,PhD,Marketing,17,20,1,267,Low,0,3,No,67.0,Solid Performer
1254,54,Female,Master,Finance,12,117,5,164,Medium,0,4,No,100.0,High Performer
1255,33,Male,Master,IT,10,35,2,158,Medium,0,1,Yes,57.3,Solid Performer
1256,43,Female,Bachelor,Finance,13,70,2,142,Medium,0,1,Yes,78.9,High Performer
1257,43,Male,Master,Operations,17,46,4,225,Low,0,3,Yes,82.9,High Performer
1258,51,Male,High School,Marketing,24,32,3,148,Medium,0,2,No,97.0,High Performer
1259,59,Other,Master,HR,18,102,3,233,High,1,4,No,100.0,High Performer
1260,59,Male,High School,Marketing,23,94,2,159,Medium,0,2,No,100.0,High Performer
1261,29,Female,Master,Operations,14,118,1,174,Medium,0,2,No,98.7,High Performer
1262,48,Female,Bachelor,Marketing,8,118,5,192,Medium,0,2,Yes,100.0,High Performer
1263,48,Female,Master,Marketing,7,100,5,249,Low,0,1,Yes,98.7,High Performer
1264,55,Female,Master,Sales,19,112,1,143,Medium,1,3,No,100.0,High Performer
1265,42,Male,High School,Marketing,0,49,2,241,Medium,0,2,No,58.4,Solid Performer
1266,51,Male,Bachelor,Marketing,3,86,5,186,High,0,3,Yes,84.3,High Performer
1267,54,Female,PhD,Finance,13,32,3,233,Low,0,3,No,76.0,High Performer
1268,49,Male,Bachelor,HR,24,25,1,187,Medium,0,1,No,74.2,High Performer
1269,54,Male,Master,Finance,1,103,4,230,Medium,0,1,No,94.5,High Performer
1270,26,Male,Bachelor,Finance,15,70,2,223,High,0,3,Yes,94.7,High Performer
1271,40,Male,Bachelor,IT,2,77,1,207,Low,0,3,Yes,52.1,Needs Improvement
1272,25,Male,Bachelor,Sales,7,113,5,264,Low,0,4,Yes,100.0,High Performer
1273,56,Male,Bachelor,Finance,5,89,2,212,Low,0,2,No,62.8,Solid Performer
1274,38,Female,Master,Operations,15,40,3,143,High,1,1,No,94.7,High Performer
1275,49,Female,Bachelor,Operations,23,62,2,215,Low,0,1,Yes,87.1,High Performer
1276,51,Female,Bachelor,Marketing,15,115,2,212,Low,0,3,Yes,84.6,High Performer
1277,50,Male,Bachelor,IT,6,34,3,216,Low,0,3,No,65.2,Solid Performer
1278,27,Male,Bachelor,Sales,12,53,3,187,Medium,0,4,No,88.4,High Performer
1279,56,Male,Master,Sales,12,21,2,241,Low,0,3,No,58.3,Solid Performer
1280,58,Female,PhD,Marketing,4,99,3,245,Medium,0,2,Yes,83.3,High Performer
1281,45,Female,Bachelor,Operations,24,110,1,216,Low,0,3,Yes,95.4,High Performer
1282,50,Male,Master,HR,19,106,3,178,Medium,1,4,Yes,100.0,High Performer
1283,52,Female,Master,IT,21,101,3,197,Medium,0,2,Yes,100.0,High Performer
1284,56,Male,Bachelor,Marketing,17,18,2,158,Medium,0,3,No,71.3,High Performer
1285,54,Female,PhD,IT,14,21,1,227,High,1,4,Yes,76.7,High Performer
1286,42,Female,Bachelor,Operations,17,78,4,252,High,1,3,Yes,100.0,High Performer
1287,53,Female,High School,Operations,1,63,4,216,Medium,0,3,No,83.6,High Performer
1288,44,Female,Master,HR,9,63,5,216,Medium,0,2,Yes,95.3,High Performer
1289,54,Female,Bachelor,HR,22,37,3,167,Medium,0,3,No,87.3,High Performer
1290,24,Male,Master,Sales,12,65,3,205,High,1,1,Yes,92.2,High Performer
1291,39,Female,Master,IT,17,108,1,149,Medium,0,3,No,97.6,High Performer
1292,46,Male,High School,IT,14,78,4,265,Medium,0,1,Yes,100.0,High Performer
1293,52,Female,Master,Operations,11,107,5,197,Medium,0,4,No,100.0,High Performer
1294,24,Female,Bachelor,Sales,14,119,1,264,High,0,4,Yes,96.0,High Performer
1295,45,Female,Bachelor,Marketing,12,107,3,251,Low,0,3,No,97.7,High Performer
1296,53,Male,Bachelor,IT,17,86,4,223,Low,0,1,No,91.3,High Performer
1297,43,Female,Master,Sales,14,112,5,235,Medium,1,1,Yes,100.0,High Performer
1298,44,Female,High School,Sales,24,115,2,172,Low,0,4,Yes,100.0,High Performer
1299,23,Female,Bachelor,Operations,22,118,4,186,Medium,0,3,No,100.0,High Performer
1300,48,Male,Bachelor,Sales,10,67,5,251,Low,0,3,No,100.0,High Performer
1301,23,Male,Master,HR,18,87,1,182,Medium,0,2,Yes,85.6,High Performer
1302,47,Male,Bachelor,HR,2,84,2,147,High,0,3,Yes,64.0,Solid Performer
1303,38,Male,High School,Finance,6,51,5,142,Medium,0,3,Yes,83.5,High Performer
1304,54,Female,Bachelor,Operations,20,47,5,264,Medium,0,3,Yes,100.0,High Performer
1305,30,Male,Bachelor,Marketing,13,77,3,151,Low,0,3,No,89.2,High Performer
1306,50,Other,Master,Finance,13,62,4,223,Low,0,4,No,96.0,High Performer
1307,47,Male,Bachelor,HR,21,42,3,155,High,0,2,No,96.4,High Performer
1308,56,Male,Bachelor,Finance,12,80,2,217,Medium,0,1,No,76.0,High Performer
1309,46,Female,PhD,Operations,11,65,5,198,Medium,0,3,No,97.5,High Performer
1310,45,Female,High School,Operations,23,114,3,202,High,0,1,No,100.0,High Performer
1311,34,Female,PhD,Sales,8,81,4,188,High,0,4,Yes,95.8,High Performer
1312,28,Female,Bachelor,IT,0,110,2,190,High,0,3,Yes,78.8,High Performer
1313,57,Female,Master,Sales,18,60,1,172,Medium,0,4,No,85.4,High Performer
